username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 09:09:05,"While many people think homelessness could never happen to them, this article points out those unlucky circumstance… https://t.co/mdfWlcO987",1,Agorapulse app,
Raze Parking Structure 3,1483604543740907523,"Santa Monica, CA",2023-01-22 08:56:16,"@MayorOfLA If Dr. King were alive today, it would not escape his notice that a disproportionate number of black peo… https://t.co/esVoICUA59",0,Twitter Web App,
Official Biden Moderate 🇽,874122678,"Los Angeles, CA",2023-01-22 08:53:18,"@garrytan Your chart shows a downward trend. Not arguing that SF doesn't have a drug and homeless problem, but any… https://t.co/hXLk1AQQnK",0,Twitter Web App,
ElGuero,472402137,"Los Angeles, CA",2023-01-22 08:44:15,"@felizbacagirl @Sportz_DC I live in DTLA. CA has the highest taxes. Poor roads. Homeless crisis, crime x10, insanity. CA is a terrible ex.",0,Twitter for iPhone,
Kassandra P,1579923585795170304,Los Angeles,2023-01-22 08:25:23,@Dreamseeker_USA @catturd2 she also was OFF KEY twice i counted while i could STILL tolerate that annoying sound...… https://t.co/UcdZFlJcjP,0,Twitter Web App,
Jeff Charlebois,1162127259999715330,Los Angeles,2023-01-22 08:18:50,@GeorgePapa19 Dude was having relations with da homeless bum. We all know it.,0,Twitter for iPhone,
PaperHand CEO,54044868,"Los Angeles, California",2023-01-22 08:17:59,@TheKevinDalton @EndWokeness That’s a nice way to dump more homeless and gangs into Los Angeles,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 08:11:06,Homeless Woman's 4th Invisible People Interview in 2 Years; Los Angeles Why Is Arien Still Homeless?… https://t.co/ftiqrG9qpw,1,Agorapulse app,
The ULTRA Craftsman 🇺🇸🔨☢️,1088333272487100417,"Los Angeles, CA",2023-01-22 08:05:54,@lalovestrump @birdgirlc @nithyavraman They are focused on going after how you cook in your private home but have n… https://t.co/nbMyEhBGOE,0,Twitter for iPhone,
Doug Moran,14800710,Los Angeles,2023-01-22 07:44:45,@L79913 @hostiledesign Because it’s not really a homeless issue,0,Twitter for iPhone,
Kerry,1392592640164593664,"Los Angeles, CA",2023-01-22 07:43:17,Generally of the mind to make change happen you have to meet people at their level but I have a line and it's pushi… https://t.co/iqWYHMmTtH,0,Twitter Web App,
BCHABC/BCHSV-are-scams,3265288466,"Los Angeles, CA",2023-01-22 07:17:03,"@MayorOfLA Drug addiction, mental health decline &amp; mass influx of homelesses from other states created this mess. W… https://t.co/9pq93sMn4b",0,Twitter Web App,
Farid X,327579878,Los Angeles,2023-01-22 07:14:04,"@CBSLA Man, they keep adopting new language every year, and it’s funny how media immediately hopes on board.  This… https://t.co/zpvKoh3K9a",0,Twitter for iPhone,
Nikkocaine,1285086433141616640,"Los Angeles, CA",2023-01-22 07:13:18,@CuffsTheLegend That homeless mf in every city who thinks he runs the underpass,0,Twitter for iPhone,
Andy Herman,1531063505217957888,"Los Angeles, CA",2023-01-22 06:58:55,@RoofLesser @KiraDurbin @cd4losangeles @nithyavraman @CaliCre8ive @K_CrowleyLA simpy being in the life of another h… https://t.co/ryc9mWm6tb,0,Twitter for Android,
Andy Herman,1531063505217957888,"Los Angeles, CA",2023-01-22 06:36:08,"@ahouse4all A young homeless friend of mine grew up in a tobacco-picking farm labor family in NoCarol. 
(At least)… https://t.co/e1GWywwG5Q",0,Twitter for Android,
Dr. ChristopherLandavazo,548961451,"Hollywood, Los Angeles",2023-01-22 06:28:03,"@MayorOfLA @LACity @POTUS Lady, your job is here in LA to fix the problem #democrats created with #Defund and… https://t.co/Us6TtS8oBZ",0,Twitter for iPhone,
David Race,756576277520322560,"Los Angeles, CA",2023-01-22 06:18:52,@BobBlumenfield Get the homeless encampment removed from Canoga Avenue between Victory and Van Owen. It's out of control!,0,Twitter for Android,
Hollywood 4 Freedom,1597466921997258752,"Hollywood, Los Angeles",2023-01-22 06:16:29,@CBSLA Our dear friend and owner of the Pineapple Hill has been asking government officials to help with the homele… https://t.co/EtCbg4FrWx,0,Twitter for iPhone,
Ministry of Truth,18154504,"Los Angeles, CA",2023-01-22 06:02:04,@GiannoCaldwell Might be good to yelp out that the owner is passionate about handing out free books and bread to th… https://t.co/A4Kk94QRqa,0,Twitter for iPhone,
Plexisonic,1585853266448949248,"Pasadena, CA",2023-01-22 06:01:41,@CBSLA 3 homeless,0,Twitter for iPhone,
David “I Hate Constituents” Graham-Caso Parody,1415720848212652032,"Venice, Los Angeles",2023-01-22 05:45:57,@Maebe_A_Girl What restaurant do you work at? I’m going to send all of the homeless in venice who don’t want help t… https://t.co/O4ZRunEoub,0,Twitter for iPhone,
Brad Ewing 𓊍,330490860,"Santa Monica, CA",2023-01-22 05:41:09,@revhowardarson It has been public knowledge *for years* that AHF is a slumlord and engaged in other nefarious beha… https://t.co/OmAKT8cLKB,0,Twitter Web App,
bob,1115596310759895040,"Redondo Beach, CA",2023-01-22 05:36:32,@fox4524 No self respecting homeless person would wear that shit,0,Twitter for iPhone,
America Is InTrouble,186345274,San Fernando Valley,2023-01-22 05:30:24,Would Chinese #CCP owned U.S. farmlands be a solution for #homeless overwhelmed with CHINESE imported drugs? The Ch… https://t.co/0F9kJ16SXG,0,Twitter Web App,
Cali z Classic Review,2599205761,Los Angeles,2023-01-22 05:26:54,"@SenWarren its also unfair for us to be taking care of a bunch of illegals, migrants, immigrants &amp; asylum seekers.… https://t.co/HYuD44XKCl",0,Twitter Web App,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 05:11:06,James is homeless in New York City. He video blogs out of an Apple Store. https://t.co/DuzP0GG42W https://t.co/4o9rUyfcZE,7,Agorapulse app,
🦩Heatherella🦩,68635588,"Los Angeles, CA",2023-01-22 05:05:57,"@LAmag @MayorOfLA @POTUS Hey Karen, really loving the red. Just one thing, it’s eerily similar to the shade of bloo… https://t.co/Ybt1SzwPfw",1,Twitter for iPhone,
🦩Heatherella🦩,68635588,"Los Angeles, CA",2023-01-22 04:58:54,"@KarenBassLA Hey Karen, I just watched a homeless man chase two young girls in a parking lot! You work for us so ma… https://t.co/XHONMDwZ8y",0,Twitter for iPhone,
Joshua Nogales,705995125109882880,"Downey, CA",2023-01-22 04:55:35,"@323Socialist While I agree with the concern for the homeless, you have to realize homelessness is not a malady but… https://t.co/GlnvnN9zrD",0,Twitter Web App,
Cy Husain 🌹,1141581364770160640,"West Hollywood, CA 90069",2023-01-22 04:54:25,@FOXLA Over $113 Billion alone was spent to fund neonazi terrorists in Ukraine and now we have a $1.64 Trillion def… https://t.co/Dy9K8vW9Jv,0,Twitter Web App,
Sergio Michel,233627820,"Hollywood, Los Angeles",2023-01-22 04:34:40,"@realginnyrobins Yes. Look at the demonic Jesus met at the caves. That is literally the majority of ""homeless"".",0,Twitter for Android,
jedi,20892381,"Los Angeles, CA",2023-01-22 04:20:48,No one was homeless in this country until 1492. #deepthoughts #illwait #stuffstephaniesays,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 04:13:06,Criminalizing homelessness and giving tickets to people who have no other choice but to pitch a tent and sleep outs… https://t.co/vus4UJHEur,9,Agorapulse app,
TobyHardtospell@Urbanists.Social 🇺🇦,28020720,"Los Angeles, CA",2023-01-22 04:07:11,“Good weather is what draws homeless people to LA…and Northern Montana” https://t.co/QBhemp4H6u,0,Twitter Web App,
JACOB Deer,1586745135701798913,Los Angeles.,2023-01-22 04:03:39,"@MayorOfLA Placing Homeless people in apartments is not ""Successfully confronting the homelessness crisis"".
It will… https://t.co/TzLDvkSjSC",0,Twitter Web App,
Brian Dickson,18966592,"Los Angeles, CA",2023-01-22 03:59:46,"@MayorOfLA Soooo.. your ""plan"" is to give the homeless 10 minute warnings and then simply throw their lives into a… https://t.co/DcgHeSfxht",0,Twitter for Android,
Justin Hart,141380680,"Los Angeles, CA",2023-01-22 03:57:32,This is truly unfortunate. Hopefully Mayor Bass will create some sort of system or program that will provide more s… https://t.co/shecaWWs68,0,Twitter Web App,
JACOB Deer,1586745135701798913,Los Angeles.,2023-01-22 03:57:13,"@Susan_Shelley To place homeless people in apartments is beyond dumb. First off, they don't want to leave the stree… https://t.co/SkLQl58Wix",0,Twitter Web App,
JACOB Deer,1586745135701798913,Los Angeles.,2023-01-22 03:53:04,"@WhirlyGirl1200 @ClownWorld_ Karen Bess couldn't care less about the homeless, neither any other politician. All they do is TALK.",0,Twitter Web App,
Belinda 🇺🇸🇲🇽,2750993509,"East Los Angeles, CA",2023-01-22 03:51:19,"@the_mod_woman @veroariete326 @BornAKang Regardless of that, Macy's isn't a homeless shelter.",0,Twitter Web App,
David McGovern,14339337,Los Angeles CA,2023-01-22 03:49:49,"Go out into the highways and hedges, and compel/

[ neighbors, coworkers, classmates, Uber drivers, baristas, barbe… https://t.co/pb2qPLqQDh",2,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 03:09:05,"""Perhaps punishment, in place of empowerment, further perpetuates one’s homelessness. Maybe telling a homeless pers… https://t.co/HzajFXGTCy",7,Agorapulse app,
Bruce,2379011534,"Los Angeles, CA",2023-01-22 03:08:09,"@EndWokeness I visited ATL back in 2021 when CA was full of masks and lockdowns. I was pleased with how ""unwoke"" it… https://t.co/p8051BX242",0,Twitter for iPhone,
🌍James sowka 🌏,701812618424512512,"Los Angeles, CA",2023-01-22 03:02:51,@oldsoulTobi It’s so they can easily spot any homeless people quickly,0,Twitter for iPhone,
Amy Alkon,28872567,"Venice, California",2023-01-22 02:35:34,I reflexively do this. It works really well with mediation clients in my volunteer work (tho on book hiatus now). M… https://t.co/BRldu5HcTg,1,Twitter Web App,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 02:13:07,"When I asked Shannon about homelessness in San Jose, she responded it is cold and very rough. ""People steal from yo… https://t.co/LNNS1Dpn8T",6,Agorapulse app,
7̴7̴7̴,1382487659352879104,"Los Angeles, CA",2023-01-22 02:11:35,"This cute button, takes 1 second. I cannot deal with being homeless again. Not asking you to even donate just share… https://t.co/TMJ7buo4RX",8,Twitter for iPhone,
Bobbi Keith,710998696339443712,Los Angeles,2023-01-22 01:52:10,@prageru Everyone who voted for cannabis legalization in their state house a homeless person suffering from psychos… https://t.co/rrO6OoLFtf,0,Twitter Web App,
Judd Omen,1593761295349604352,"Los Angeles, CA",2023-01-22 01:50:08,"BIDEN N SON
How about giving the money u guys stole
To homeless people 
Who R  freezing 
Their LIFEs away
U can sho… https://t.co/emIYL0kTbF",0,Twitter for iPad,
Daniel Guss,4880918696,"Los Angeles, CA",2023-01-22 01:41:58,@MayorOfLA @cd4losangeles Other than the three homeless people who died on one block in CD4 this week who she ignor… https://t.co/5F32izAmtF,0,Twitter for iPhone,
naelatto,1569209772335050752,LA,2023-01-22 01:30:04,LMAOOOOOO on god you gotta tell em you homeless or something now https://t.co/fPWuuTEWWm,0,Twitter for iPad,
J.J. Haro,1589432505563652097,"Los Angeles, CA",2023-01-22 01:24:34,Homeless dudes sitting behind me in the Metro are arguing over who gets to heat up the pipe first. Dear God. #dtla,0,Twitter for iPhone,
Judd Omen,1593761295349604352,"Los Angeles, CA",2023-01-22 01:19:06,"NEVER ENDs
HOMELESS REJECTED SOULS 
DEAD
IN SHERMAN OAKS
POLITICS 
WILL NOW
DO SOMETHING ABOUT IT
MOTHER FUCKERS
MO… https://t.co/zu7WshY7tl",0,Twitter for iPad,
James Yoon,1481583949990088704,"Los Angeles, CA",2023-01-22 01:08:34,"@LAmag Seriously, LA Magazine?! Hundreds of millions of dollars of our taxes go to trying to house and take care of… https://t.co/ylmZBcq45W",0,Twitter for iPhone,
Sarah,1578216342712291328,"Los Angeles, CA",2023-01-22 00:59:01,@WuodMarymin77 @Scott_Wiener I would encourage all the homeless peoples to identify with LGBTQ if they want any rec… https://t.co/6NjjJr28Ob,0,Twitter for iPhone,
Gregg0r 🌐,308234745,,2023-01-22 00:50:17,@Chase and @ChaseSupport are complete trash. In LA for one night and our hotel booked through their site has been c… https://t.co/9mjxkMH4cC,0,Twitter for iPhone,
Bradley Van Patten,174314398,"Los Angeles, CA",2023-01-22 00:49:41,My boyfriend looks homeless rn..a tad. https://t.co/PeQgNSsJXY,0,Twitter for iPhone,
Angeleena🐬,39209031,"Los Angeles, CA",2023-01-22 00:48:38,@bogextractor @ZaleskiLuke @Mike_Pence Lmao keep supporting suffering and murder. Bc that’s what happens to moms an… https://t.co/CTC5WfpuCe,0,Twitter for iPhone,
Harry Honkler,1605340690677891073,"Los Angeles, CA",2023-01-22 00:47:28,@WTOP The homeless have to haul their shit around in something.,0,Twitter Web App,
AlternateDictum,3219683995,"Beverly Hills, CA",2023-01-22 00:38:24,@Scott_Wiener I see enough space out there for tents and space consumption zones...why dont you help the needy home… https://t.co/k867xEwAfK,0,Twitter Web App,
Lindsay,1602708113773064197,"Santa Monica, CA",2023-01-22 00:27:32,@yrmydensity @MayorOfLA @cd4losangeles Pit homeless and handicap against each other? That's ridiculous. What I am t… https://t.co/5znlLqhzTQ,0,Twitter for Android,
Big Game James,293641545,"Los Angeles, CA",2023-01-22 00:23:45,"@Project_Veritas The Homeless-Addiction Industrial Complex.
Billions of taxpayers dollars and it only has gotten worse.",0,Twitter for Android,
Dexter Says Erin Darling Sux,1383808926903201794,"Los Angeles, CA",2023-01-22 00:21:39,@Botched_Again @sidster12345 @LaMomsfor @nithyavraman @CalOrganize @KeepLAHoused And it’s not the like the homeless… https://t.co/HEPmiwKxek,0,Twitter for iPhone,
Hobonator,15838427,"Los Angeles, CA",2023-01-22 00:15:56,@WaltzingMtilda Im gonna play count the homeless on the way to the store.  I win,0,Twitter for Android,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 00:12:07,"Jonathan says he is homeless because he is addicted to drugs. He's tried to stop, but it's nearly impossible to get… https://t.co/skemA45QhE",9,Agorapulse app,
Bobbi,178418262,"Bell Gardens, CA",2023-01-22 00:01:40,Been working in Boyle heights all day and mama this city is like mini Mexico she crusty but she’s a good time. *cur… https://t.co/Bl4AdsDCZT,0,Twitter for iPhone,
7̴7̴7̴,1382487659352879104,"Los Angeles, CA",2023-01-21 23:59:15,Nothing today. I will literally be homeless if this doesn’t get fulfilled https://t.co/qarTLoYQp2,89,Twitter for iPhone,
Kate Ingram,996558605737312256,"Santa Monica, CA",2023-01-21 23:36:33,"@conservativeoil @GavinNewsom @GOP leave if you don't like it.  you can move to Texas, increase your chances of you… https://t.co/6OUMBCF5OZ",1,Twitter Web App,
SilverLakeBy,1038488248572506113,"Los Angeles, CA",2023-01-21 23:36:16,@TheTweetOfJohn and yet we will spend 145 trillion on war and 10 bucks to help the homeless,0,Twitter Web App,
United Way of L.A.,148809273,Los Angeles,2023-01-21 23:23:28,"Please consider volunteering for the Homeless Count, kicking off in only 3 days! #theycountwillyou https://t.co/NSGyS4Ue47",5,Twitter for iPhone,
Mark Horvath,14595574,Los Angeles,2023-01-21 23:14:39,"@Jason While fentanyl is a severe crisis, cities with the highest drug use DO NOT have high homelessness, yet citie… https://t.co/SdkBP4f2wQ",1,Twitter Web App,
JenJae2016,1071145638757363718,"Los Angeles, CA",2023-01-21 23:07:43,"Welcome to LA...

Where there's homeless living in tents, astronomical cost of living, rampant crime, addicts chasi… https://t.co/gHcaM1SKkp",0,Twitter for Android,
Tk,74887052,"Los Angeles, CA",2023-01-21 22:56:17,The homeless in LA will really just pitch a tent in the middle of the sidewalk on a busy street,0,Twitter for iPhone,
Lindsay,1602708113773064197,"Santa Monica, CA",2023-01-21 22:54:12,"@politiwars @CARebelBase @tonythefisher CA is a joke.... We're prepared, but the fact he has allowed homeless to ta… https://t.co/ChSpjWUavU",1,Twitter for Android,
Rene Valle,942848048,"Los Angeles, California",2023-01-21 22:49:19,"@Project_Veritas Anything to make newsom look bad

Theyre gona try and steal him into president

Expose CAs rigged… https://t.co/m7ZYmcqM61",0,Twitter for Android,
Raziel Sayers,1607460990958075906,"Hollywood, Los Angeles, CA",2023-01-21 22:45:55,"My parents threw my stuff away out of anger. I was a straight-A bookworm, so books. They also starved me. 

I ended… https://t.co/fkVDHfSmha",0,Twitter Web App,
Twyla,1496175606924386308,"Los Angeles, CA",2023-01-21 22:22:17,Hand out money to the homeless people around you. I don’t care if they’re drug addicts if they’re just homeless liv… https://t.co/GK84KMlSJU,0,Twitter for iPhone,
christine,158816604,"Los Angeles, CA",2023-01-21 22:19:01,"the most vile people commented under this saying the quiet part out loud: they want homeless people dead, jesus chr… https://t.co/gWYDDruWKO",0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 22:12:06,Michelle lost her job and then her apartment. Michelle's daughter went to go stay with her godmother while Michelle… https://t.co/UjEow9mexU,6,Agorapulse app,
The Giant V.O.tter resistance.,250587520,Los Angeles,2023-01-21 22:08:30,@socialiststeve6 They can't launder money through the homeless...,0,Twitter for Android,
(Raquel) KB💜💛,34203989,"Los Angeles, CA",2023-01-21 22:04:05,@ConstanceIloh It’s so hard to deal with at times. I wish they’d help the homeless out more,0,Twitter for iPhone,
The Homeless Times,1153413011651977217,"Los Angeles, California USA",2023-01-21 21:44:10,"Amid Impeachment Madness, Trump’s Approval Rating Climbs. but Look at What May Be Waiting  
President Donald Trump… https://t.co/VT2F6u45TV",0,Revive Social App,
Michael Nardelli,737257741,🎞 Los Angeles,2023-01-21 21:35:22,"A good resource for those interested in helping the homeless crisis in LA. https://t.co/4JLdB4jKmk 
also @pathpartners ❤️‍🩹",1,Twitter Web App,
Marantz Moon,231940998, Chicago - Los Angeles,2023-01-21 21:32:19,Homeless for the Holidays 5K Run / 2.5K Walk L.A. https://t.co/LBWSYAhsbs,0,Twitter for iPhone,
Retropolitan Radio • LA,1585771784367853568,"Los Angeles, CA",2023-01-21 21:31:15,"🚨 LIVE • Track the homeless fires and flaming palm fronds with @LACapOfficial
https://t.co/2JadDPq4ws",0,Twitter for Android,
Erin Stone (she/her),243907481,"Los Angeles, CA",2023-01-21 21:21:12,"“Weakened by years of drought, many of the city’s grander trees succumbed to the extreme weather, damaging homes, f… https://t.co/xzoasRQ0xB",2,Twitter for iPhone,
Adam Frost-Venrick,4822647166,"Atwater Village, Los Angeles",2023-01-21 21:17:16,The absolute vilification and dehumanization of homeless people will always be baffling to me. Reprehensible ghoul behavior.,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 21:17:00,"In today's article, @homeless_loki talks about building her home business so she can support herself:
https://t.co/BYf2vubYeR",2,Sprout Social,
The Homeless Times,1153413011651977217,"Los Angeles, California USA",2023-01-21 21:13:09,Groups Sue to Block L.A.’s New Housing Tax A coalition of real estate and antitax groups is seeking to prevent the… https://t.co/8JPWIusj7D,0,Revive Social App,
#IggysBlueline,988481177915801601,"Los Angeles, CA",2023-01-21 21:12:27,@Sportz_DC California the homeless are loving it 😍 ❤️ 💕,0,Twitter for Android,
Live Work,1210687725940047874,"Los Angeles, CA",2023-01-21 21:11:02,Judge Excoriates L.A. For Homeless Lack of Emergency – Los Feliz Ledger https://t.co/ttHuR8OIJw https://t.co/c9e0yetpzE,0,SocialBee.io v2,
crimewatch,1562227206029340673,"Culver City, CA",2023-01-21 21:10:38,@yodeputy @awong_SF the leftist community and DSA and Dean Preston gave Chesa the DA's office as a reward for his f… https://t.co/bZ3w9SjhuX,0,Twitter for iPad,
🇪🇷East African Assassin🎯,3302157286,LA,2023-01-21 21:09:56,Any country being flashy an not giving da homeless $ https://t.co/HNxDIXdO9o,0,Twitter for iPhone,
Housing Is A Human Right™,921031172712423424,"Los Angeles, California",2023-01-21 21:09:14,@leilanifarha So true! We have an #AdaptiveReuse housing model. It's been a massive success. https://t.co/To3sqvVaTY,0,Twitter Web App,
Natalie,1604822003751571456,"Los Angeles, CA",2023-01-21 21:09:01,@RBReich Stop. Money never gets used for poverty and homeless.,0,Twitter for iPhone,
maygin mcewen 🖖🏻 ♈ 🏳️‍🌈⛤♂☠🔥☯️,588848449,"Los Angeles, CA",2023-01-21 20:59:13,@SJO_Adrift @Stonekettle You can buy them in California. If you can eat or drink it and it's not pre-made like deli… https://t.co/uNUtVUI6Tr,0,Twitter for Android,
McGovern ‘72,950877955965706240,los angeles,2023-01-21 20:54:15,Alt headline: Mayor and President Discuss Plan to Allow Tens of Thousands of Angelenos to Remain Homeless https://t.co/DvXen20jR1,0,Twitter for iPhone,
Venice Siren,16069499,"Venice, CA",2023-01-21 20:44:05,"@mfjake_ @KateCagle @MayorOfLA @SpecNews1SoCal I agree over all but I put my not being homeless, at least yet, down… https://t.co/iQ8rtBOcbi",0,Twitter for iPad,
Javier Gonzalez,23397628,Los Angeles,2023-01-21 20:30:14,@KateCagle @MayorOfLA @SpecNews1SoCal This is a scam too. The local hotel near my office has turned our street upsi… https://t.co/izri7KwLKL,0,Twitter for iPhone,
Margot Roosevelt,112873659,"Los Angeles, CA",2023-01-21 20:24:03,"A prominent US crusader against bad landlords—⁦@AIDSHealthcare⁩ Foundation—is itself a terrible landlord.

By ⁦… https://t.co/sTcOZlnAi1",2,Twitter for iPhone,
A Point Man,1178020128174166018,"Los Angeles, CA",2023-01-21 20:23:59,@jacobdotgov California (and largely blue LA) routinely vote against causes that help the homeless and improve infr… https://t.co/Fo1LcrSJls,0,Twitter for iPhone,
Carolina A. Miranda @cmonstah@mastodon.art,15854730,Los Angeles,2023-01-21 20:16:50,"""An elevator expert hired by the plaintiffs estimated in a deposition that a new elevator would cost no more than 3… https://t.co/zlNTLjKI31",8,Twitter Web App,
SilverLakeBy,1038488248572506113,"Los Angeles, CA",2023-01-21 20:15:51,@RepRoKhanna stop playing politics and HELP THE PEOPLE.  We are homeless freezing and starving working for $1/hour… https://t.co/F9o1AL5CDt,0,Twitter Web App,
Steve Kosareff,828048806641954816,"Santa Monica, CA",2023-01-21 20:10:48,@waltermasterson @CarlosEGates1 Well they have no problems with those babies if they end up homeless because they d… https://t.co/MoomW8VhUz,0,Twitter for Android,
OKEMO 🇰🇪🇰🇪🇰🇪,30055540,"Los Angeles, CA",2023-01-21 19:56:46,I wish I would pay attention to these homeless niggas,0,Twitter for Android,
Adam Cozens,14532355,"Los Angeles, CA",2023-01-21 19:56:13,I’ve never been homeless but last week I did ask a guy at the Costco gas station if he would swipe his membership c… https://t.co/q5Mb1uMWfg,0,Twitter for iPhone,
DR.Deloojunal 😷,1474778396123033602,"Los Angeles, CA",2023-01-21 19:45:08,@bums_babies_2 She giggles because she knows she’s nasty and saw that man’s face drop in disappointment when he rea… https://t.co/qTpx7pW3to,0,Twitter for iPhone,
monster,2693237320,"Los Angeles, CA",2023-01-21 19:43:36,@lifeafterkosovo @RamonSantaana @waltermasterson He’s homeless now due to the state of Tesla stock,0,Twitter for iPhone,
Twyla,1496175606924386308,"Los Angeles, CA",2023-01-21 19:32:41,"You drive,see bad things, homeless people, drug addicts pooping on sidewalk. Please record it. You won’t b/c YOU ar… https://t.co/poAU10EcAB",0,Twitter for iPhone,
Kent Moyer,272654272,"Beverly Hills, Shanghai, Japan",2023-01-21 19:31:30,@sfchronicle @MayorOfLA has no clue how to solve the homeless problem other than spending millions &amp; it will get worse.,0,Twitter for iPhone,
L.A. Rich,742122181379772416,Los Angeles ,2023-01-21 19:27:59,@MayorOfLA @POTUS The homeless “problem” is only made worse for everyone when incompetent ppl like you refuse to ta… https://t.co/nNTvJyVQ9R,0,Twitter for iPhone,
Eddy Rice,119801671,Los Angeles,2023-01-21 19:10:53,"They voted for the $ but to use it do they have the brains?
They are drying off &amp; praying the homeless don't float… https://t.co/UPU8lbJ7tE",0,Twitter Web App,
𝕿𝖍𝖚𝖌𝖓𝖎𝖋𝖎𝖈𝖊𝖓𝖙™,1516070495631941639,"Beverly Hills, CA",2023-01-21 19:05:04,I'm homeless without the m 🥺,0,Twitter for Android,
Gabriel Comer,914537620620820481,"Los Angeles, CA",2023-01-21 19:02:14,"The Democrat idea of a successful U.S.!The Democrat Experiment 🧪, Tax payer money paying for Junky’s drug of choice… https://t.co/ki9O0Vwebx",0,Twitter for iPhone,
CareersInGovernment,525005120,"Los Angeles, CA",2023-01-21 18:57:01,.@SanDiegoCounty is #hiring a DEP DIR - DEPARTMENTAL OPERATIONS-HOMELESS SOLUTIONS &amp; EQUITABLE COMMUNITIES.… https://t.co/RUjZCdwLm7,1,Agorapulse app,
🇺🇸🌻Tina🌻🇺🇦,3160222020,"Los Angeles, CA",2023-01-21 18:55:55,"@RepBrianMast Clearly you stop caring once they’re old enough to get shot or are hungry or homeless. 
I’ll believe… https://t.co/K211MGFpvC",0,Twitter for iPhone,
Butch Northwood,47479695,"Los Angeles, CA",2023-01-21 18:48:54,"After years of witnessing our homeless brothers &amp; sisters numbers swell
&amp; get nothing but empty promises from polit… https://t.co/pSqdIYycZq",1,Twitter Web App,
BA,864165156,"LA, CA",2023-01-21 18:46:23,"@jenvanlaar Homeless Olympics, but not the categories you may expect.",0,Twitter for iPhone,
LA Family Housing,153575592,Los Angeles,2023-01-21 18:44:05,"The Homeless Count is just three days away, and we still need hundreds of volunteers to join us! We are especially… https://t.co/NedExcqGzv",0,Sprout Social,
Mayor Sasha Renée Pérez,1002012173583900672,"Alhambra, CA",2023-01-21 18:35:38,We need volunteers all over LA County! Join us for the Homeless Count next week. Sign up at the registration link b… https://t.co/KxURYGCGbP,1,Twitter for iPhone,
Ramin,443305169,"Santa Monica, CA",2023-01-21 18:16:57,Homeless industrial complex in California is real. Just a endless money grab by contractors. Grift at the highest l… https://t.co/cITEKIAZMM,0,Twitter for iPhone,
Goblin Queen ⚔️,3068983753,Southeast LA,2023-01-21 18:14:41,@conIimonysaI There’s places like that everywhere in LB that shit pisses me off. Then they complain about homeless people like stfu bro.,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-21 18:12:07,"Michelle was in an abusive relationship for 30 years. She left for Chicago to get away, but without an income, she… https://t.co/UeLDi9pbzE",6,Agorapulse app,
ingrid eckhoff,1573671443224616961,Los Angeles,2023-01-21 18:06:30,@MayorOfLA @POTUS Will need to address the fentanyl crisis then as most homeless are actually drug addicts who can… https://t.co/kh9V807K0L,0,Twitter Web App,
John Gonzales,1300112294085423104,"Los Angeles, CA",2023-01-21 18:04:29,@BrandonLBradfor Frontline homeless outreach,0,Twitter for iPad,
"Katherine, Citizen Forester 🌳✍️🌎",903158635,Downtown Los Angeles,2023-01-21 18:01:50,@homeless_new I hear you. Didn't Red Cross get in big trouble for this very thing?,0,Twitter Web App,
Gautham Nagesh,19089116,Los Angeles,2023-01-21 17:58:42,"Great reporting from @dillonliam on the AIDS Healthcare Foundation, which is shady af. the Feds need to look into t… https://t.co/IEBSeaMdYX",0,Twitter Web App,
Aaron Lau,264615040,"Los Angeles, CA",2023-01-21 17:58:24,Google maps gotta have a setting where it takes you past the least homeless encampments on the way to your destination,0,Twitter for iPhone,
Richard Zapor,1586030780697833478,"Los Angeles, CA",2023-01-21 17:52:32,@MikeHudema In CA Los Angeles this would provide energy and housing for the homeless.,0,Twitter Web App,
#KylerBean,416866438,Los Angeles,2023-01-21 17:50:37,The WHOLE TRUTH? How about facts! Zero Playoff wins in 9 years! You’re more bummy then these homeless asking for ch… https://t.co/bQlMosQV9O,0,Twitter for iPhone,
MaxxJerome,18467509,MAXXHILLS,2023-01-21 17:48:03,"@MayorOfLA @POTUS CORRUPTION ON HILL STREET
Next time you wanna know why there are so many homeless black people in… https://t.co/2dhuJ5tsCy",0,Twitter for iPhone,
